« 기사 문장별 한국어 번역. 열 = 기사키 / 문장번호(0=제목) / 한국어
« 번역이 없는 문장은 merge-reading.js 가 덱에서 빼 버린다 — 표 잔해·목록 줄을 여기서 걸러내는 방법이다.
いなべ草競馬	0	미에현 이나베시에서 2016년 5월 15일에 '이나베 구사케이바'가 열린다
いなべ草競馬	1	2016년 5월 15일, 미에현 이나베시 다이안초의 료가이케 공원에서 초원 경마인 '이나베 구사케이바'가 열렸다.
いなべ草競馬	2	주최는 '이나베 애마회'가 맡았고, 한 바퀴 400미터인 코스를 3바퀴에서 5바퀴 도는 방식으로 경기가 치러졌다.
いなべ草競馬	3	'이나베 구사케이바'는 예부터 이나베 지역에서 열리던 농경마 경주를 재현한 것이라고 한다.
いなべ草競馬	4	'이나베 애마회'에 따르면 이 경주는 1971년부터 시작되었다고 한다.
いなべ草競馬	5	개최지인 미에현을 비롯해 아이치현과 나가노현에서도 은퇴 경주마와 포니가 모두 27마리 참가했다.
いなべ草競馬	6	오전에 예선, 오후에 결승을 치르는 구성으로 진행되었다.
いなべ草競馬	7	관람객은 약 2,500명이 찾아왔고, 옆에서 바비큐를 즐기는 등 저마다의 시간을 보냈다.
くまげら	0	리조트 시라카미, 제3편성의 새 애칭은 '구마게라'
くまげら	1	아키타사키가케신보 2005년 9월 27일 보도에 따르면, JR동일본 아키타지사는 내년 봄부터 투입하는 리조트 시라카미의 제3편성을 '구마게라'로 명명한다고 발표했다.
くまげら	2	리조트 시라카미는 고노선을 경유해 아키타와 아오모리 사이를 잇는 인기 열차다.
くまげら	3	지정석을 구하기 어려워 이 회사는 새 편성을 도입하고 그 애칭을 공모했다.
くまげら	4	애칭으로 뽑힌 '구마게라'(까막딱따구리)는 딱따구리과의 새로, 국가 천연기념물이다.
くまげら	5	홋카이도의 텃새이지만 도호쿠 북부 일부에도 서식한다.
くまげら	6	아오모리현에 따르면 아오모리현에서는 1985년에 번식이 확인되었다.
くまげら	7	리조트 시라카미 노선 주변에서는 시라카미 산지의 오푸토다케와 시라카미오쿠아카이시가와에서 둥지가 확인되었다.
くまげら	8	아키타사키가케신보에 따르면 응모는 2,557건으로, 동해나 저녁 해에서 따온 이름의 응모가 많았다.
くまげら	9	1위가 '석양', '구마게라'는 2위였다.
火星の水	0	미국 항공우주국, 화성에서 물 확인
火星の水	1	니케이·아사히·산요신문에 따르면 미국 항공우주국은 7월 31일, 화성에 물이 존재한다는 사실을 확인했다고 발표했다.
火星の水	2	니혼게이자이신문의 보도로 알려졌다.
火星の水	3	그에 따르면 지구 이외의 천체에 물이 존재한다고 확인된 것은 처음이라고 한다.
火星の水	4	또한 화성 탐사선 피닉스호가 2008년 5월에 화성 북극에 가까운 곳의 토양을 파 보니 얼음으로 보이는 물질을 발견했다.
火星の水	5	이것을 피닉스호가 채취해 검사한 결과, 얼음으로 보이는 것이 증발해 수증기를 확인할 수 있었고, 물이 화성에 존재한다는 것이 확인되었다고 한다.
交通博物館	0	교통박물관, 70년의 역사를 실은 채 종착으로
交通博物館	1	산케이신문에 따르면 도쿄도 지요다구의 교통박물관이 14일 문을 닫았다.
交通博物館	2	철도를 중심으로 교통에 관련된 것들을 수시로 전시했다.
交通博物館	3	수학여행 온 학생들과 가족 단위 방문객 등이 찾아오곤 했다.
交通博物館	4	관내에는 대형 철도 시뮬레이터가 있었고, 그 외에 2층과 3층에는 철도 이외의 전시물과 도서관, 식당 등이 있었다.
交通博物館	5	최근에는 한 달에 약 6,000명, 연간 40만 명이 넘는 입장객이 있었지만, 시설 자체의 노후화 등으로 문을 닫게 되었다.
交通博物館	6	마지막 날은 밤을 새운 사람까지 포함해 약 1,000명이나 되는 줄이 생겨, 교통박물관은 개관 시간을 평소의 오전 9시 30분보다 한 시간 앞당겨 오전 8시 30분에 열었다.
交通博物館	7	그래도 아쉬워하는 관람객이 많아 폐관 시간(오후 5시)도 늘어나 오후 7시가 넘도록 크게 붐볐다.
交通博物館	8	이날만으로도 약 1만 4,000명이 입장했다.
交通博物館	9	박물관은 사이타마현 사이타마시로 이전해 철도박물관으로 2007년 10월 14일에 개관하기로 정해져, 이전 작업이 진행되고 있다.
ラブライブ投票	0	총선에 '러브라이브'!? 누마즈시 선거관리위원회가 투표율 향상 대책을 실시
ラブライブ投票	1	시즈오카현 누마즈시를 무대로, 여고생들이 자기 학교의 폐교 위기를 막으려 분투하는 청춘 군상극 '러브라이브! 선샤인!!'.
ラブライブ投票	2	전국적으로 인기인 이 작품은 뜻밖의 곳에도 쓰이고 있다.
ラブライブ投票	3	누마즈시 선거관리위원회는 사전투표가 시작된 중의원 해산 총선거에서, 투표를 마치고 신청한 사람에게 '러브라이브! 선샤인!!' 디자인의 투표 증명서를 한 장씩 배포하고 있다.
ラブライブ投票	4	이 대책은 2025년 참의원 선거에서도 진행되어, 이번이 두 번째다.
ラブライブ投票	5	디자인은 지난번과 같고, 이번에는 3만 장을 준비했다.
ラブライブ投票	6	국정 선거의 투표율은 해마다 떨어지고 있다.
ラブライブ投票	7	이 대책으로 선거에 관심이 없던 세대도 투표하게 될지가 주목된다.
ジャスダック障害	0	'자스닥' 증권거래소에서 시스템 장애, 오전 중 매매가 정지
ジャスダック障害	1	신흥기업 대상 주식시장인 자스닥 증권거래소(도쿄)에서 29일 아침 시스템 장애가 발생해 모든 증권 종목의 거래가 불가능해진 사실이 각 언론에 의해 보도되었다.
ジャスダック障害	2	오후에는 복구되었지만 오전 중 전장 거래와 장외 거래 전부가 정지되었다.
ジャスダック障害	3	자스닥의 발표에 따르면 오전 8시 46분 이후 장외 거래가 정지되었고, 오전 9시 전장 거래 개시 직전인 오전 8시 56분에 자스닥 시장에서 시스템 장애가 보고되었다.
ジャスダック障害	4	보도를 종합하면 이날은 그동안 수작업으로 하던 장외 거래의 일부를 시스템화한 첫날이었지만, 시스템 장애와의 관계는 불명이라고 한다.
ジャスダック障害	5	처음에는 복구 개시 시각이 발표되지 않았다.
ジャスダック障害	6	이 시스템 장애로 약 300억 엔 정도의 거래에 영향이 나왔다고 보인다고 보도되고 있다.
ジャスダック障害	7	오후 0시 30분, 후장 거래부터 복구되었다.
ジャスダック障害	8	각 언론은 자스닥에서의 시스템 장애가 올해 들어 세 번째이지만 오전 거래가 전부 정지된 것은 처음이며, 올해 7월에 매매 처리 능력을 증강한 직후였다고 전하고 있다.
高島彩退社	0	후지TV 다카시마 아야 아나운서가 올해 말로 퇴사
高島彩退社	1	마이니치신문에 따르면 후지TV의 다카시마 아야 아나운서(31)가 올해 12월 말로 이 방송사를 퇴사한다고 밝혔다.
高島彩退社	2	다카시마 씨가 캐스터로 출연하는 보도 프로그램 '메자마시 테레비'도 9월 말로 하차할 예정이다.
高島彩退社	3	산케이신문에 따르면 8월 24일 이 프로그램에서 다카시마 씨는 이 사실을 공표하고, "가족과 보내는 시간도 소중히 하고 싶다"며 퇴사 이유를 설명했다.
高島彩退社	4	"걱정이에요, 앞으로는…"이라며 앞일에 대한 솔직한 심정을 털어놓았다고 한다.
高島彩退社	5	또 마이니치에 따르면 "메자마시 테레비를 떠나는 것에 아쉬운 마음도 있지만, 조금은 느긋하게 아침 햇살을 받으며 잠에서 깨는 생활을 하면서 저 자신을 다시 돌아보고 싶다"고 말했다.
高島彩退社	6	닛칸스포츠에 따르면 다카시마 씨는 1979년 도쿄 출생이다.
高島彩退社	7	친아버지는 배우인 고(故) 류자키 마사루 씨다.
高島彩退社	8	2001년에 세이케이대학을 졸업한 뒤 후지TV에 입사해 버라이어티와 정보 프로그램을 담당하며 '아야팡'이라는 애칭으로 친숙해졌다.
羽田緊急着陸	0	하네다 공항에 비상 착륙 잇따라
羽田緊急着陸	1	2005년 1월 14일 오후, 도쿄국제공항(하네다 공항)에 에어프랑스 여객기와 일본항공 여객기가 잇따라 비상 착륙했다.
羽田緊急着陸	2	두 기 모두 승객과 승무원에 부상은 없었다.
羽田緊急着陸	4	그래서 이 여객기는 7시 30분이 지나 하네다 공항에 비상 착륙했다.
羽田緊急着陸	6	연기는 나지 않았지만 날씨가 나빴기 때문에 만일을 위해 오후 5시 30분이 지나 하네다 공항에 비상 착륙했다.
羽田緊急着陸	7	두 기 모두 기내에서 타거나 그을린 흔적은 발견되지 않았다.
羽田緊急着陸	8	또 두 회사는 원인을 조사하고 있다.
香川県知事選	0	가가와현 지사 선거 - 2006년
香川県知事選	1	28일 가가와현에서 임기 만료에 따른 가가와현 지사 선거와 현의회 의원 보궐선거가 치러졌고, 당일 개표 결과 가가와현 지사에 무소속 현직인 마나베 다케키 씨가 3선을 확정했다.
香川県知事選	2	이번 선거는 마나베 지사의 임기가 만료되는 데 따른 것으로, 지난달 27일에 공시되었고 선거관리위원회에 따르면 다타라 조지 씨와 현직인 마나베 다케키 두 사람이 입후보했다.
香川県知事選	3	투표는 현내 504곳의 투표소에서 오전 7시부터 오후 8시까지 진행되었고, 당일 개표가 이루어졌다.
香川県知事選	4	투표율은 35.83%였다.
ホルマリン紛失	0	나고야시립대학병원에서 포르말린액 용기 한 병이 분실
ホルマリン紛失	1	나고야시 미즈호구에 있는 나고야시립대학병원은 15일, 의약용 외 극물인 포르말린액이 한 병 없어졌다고 발표했다.
ホルマリン紛失	2	14일 아침, 간호사가 보관고에 있는 포르말린액의 수량을 확인했더니 한 병이 부족한 것을 알아차렸다.
ホルマリン紛失	3	보관고에는 자물쇠가 걸려 있었지만, 보관고가 있는 방은 잠겨 있지 않아 누구나 들어갈 수 있는 상태였다.
ホルマリン紛失	4	그래서 병원은 도난 가능성이 있다고 보고 15일에 경찰에 신고했다.
ホルマリン紛失	5	병원은 관리를 철저히 해 재발 방지에 힘쓰겠다는 뜻을 밝혔다.
